pwm,rpm,current,voltage,power,force,efficiency
1100,2976,17.03,12,204.4,-2.90,14.2
1104,2969,17.08,12,205.0,-2.92,14.2
1108,2971,16.76,12,201.1,-2.89,14.4
1112,2933,16.52,12,198.2,-2.83,14.3
1116,2916,16.08,12,193.0,-2.79,14.4
1120,2898,15.69,12,188.3,-2.76,14.7
1124,2874,15.31,12,183.7,-2.72,14.8
1128,2852,15,12,180.0,-2.67,14.8
1132,2841,14.51,12,174.1,-2.60,14.9
1136,2817,14.17,12,170.0,-2.59,15.3
1140,2792,13.82,12,165.8,-2.56,15.5
1144,2773,13.46,12,161.5,-2.49,15.4
1148,2755,13.08,12,157.0,-2.44,15.5
1152,2728,12.8,12,153.6,-2.43,15.8
1156,2714,12.4,12,148.8,-2.39,16.0
1160,2689,12,12,144.0,-2.34,16.3
1164,2676,11.66,12,139.9,-2.30,16.5
1168,2654,11.31,12,135.7,-2.25,16.6
1172,2615,11.1,12,133.2,-2.23,16.7
1176,2610,10.74,12,128.9,-2.18,16.9
1180,2576,10.5,12,126.0,-2.14,17.0
1184,2560,10.11,12,121.3,-2.10,17.3
1188,2533,9.84,12,118.1,-2.07,17.5
1192,2510,9.5,12,114.0,-2.01,17.6
1196,2482,9.2,12,110.4,-1.98,18.0
1200,2457,8.9,12,106.8,-1.95,18.2
1204,2443,8.6,12,103.2,-1.88,18.2
1208,2412,8.3,12,99.6,-1.85,18.5
1212,2383,8,12,96.0,-1.81,18.8
1216,2365,7.7,12,92.4,-1.78,19.2
1220,2335,7.4,12,88.8,-1.73,19.5
1224,2318,7.1,12,85.2,-1.66,19.5
1228,2284,6.9,12,82.8,-1.65,19.9
1232,2260,6.6,12,79.2,-1.61,20.3
1236,2231,6.4,12,76.8,-1.56,20.3
1240,2208,6.2,12,74.4,-1.53,20.6
1244,2189,5.99,12,71.9,-1.49,20.8
1248,2159,5.77,12,69.2,-1.47,21.2
1252,2140,5.5,12,66.0,-1.44,21.8
1256,2106,5.32,12,63.8,-1.40,21.9
1260,2082,5.17,12,62.0,-1.37,22.1
1264,2057,4.9,12,58.8,-1.33,22.7
1268,2038,4.7,12,56.4,-1.29,22.9
1272,2006,4.56,12,54.7,-1.28,23.4
1276,1982,4.3,12,51.6,-1.22,23.6
1280,1955,4.1,12,49.2,-1.19,24.2
1284,1925,3.9,12,46.8,-1.15,24.6
1288,1898,3.73,12,44.8,-1.12,24.9
1292,1869,3.6,12,43.2,-1.08,25.1
1296,1846,3.4,12,40.8,-1.04,25.6
1300,1815,3.3,12,39.6,-1.02,25.8
1304,1788,3.1,12,37.2,-0.99,26.7
1308,1763,2.98,12,35.8,-0.96,26.9
1312,1737,2.8,12,33.6,-0.93,27.7
1316,1708,2.7,12,32.4,-0.90,27.9
1320,1681,2.41,12,28.9,-0.87,30.1
1324,1651,2.3,12,27.6,-0.83,30.2
1328,1620,2.1,12,25.2,-0.79,31.5
1332,1588,2,12,24.0,-0.77,32.1
1336,1557,1.9,12,22.8,-0.74,32.4
1340,1529,1.8,12,21.6,-0.72,33.4
1344,1504,1.7,12,20.4,-0.69,34.0
1348,1470,1.6,12,19.2,-0.66,34.3
1352,1439,1.5,12,18.0,-0.64,35.5
1356,1411,1.31,12,15.7,-0.60,38.4
1360,1375,1.3,12,15.6,-0.57,36.6
1364,1338,1.2,12,14.4,-0.54,37.8
1368,1309,1.1,12,13.2,-0.52,39.2
1372,1276,1,12,12.0,-0.49,41.2
1376,1246,0.9,12,10.8,-0.47,43.7
1380,1211,0.8,12,9.6,-0.44,45.8
1384,1169,0.8,12,9.6,-0.42,43.5
1388,1134,0.7,12,8.4,-0.39,46.4
1392,1099,0.6,12,7.2,-0.37,51.0
1396,1057,0.5,12,6.0,-0.34,56.7
1400,1023,0.5,12,6.0,-0.32,52.9
1404,986,0.41,12,4.9,-0.29,59.9
1408,944,0.4,12,4.8,-0.27,55.8
1412,903,0.4,12,4.8,-0.24,51.0
1416,865,0.3,12,3.6,-0.23,63.0
1420,820,0.29,12,3.5,-0.20,58.7
1424,777,0.2,12,2.4,-0.18,73.7
1428,737,0.2,12,2.4,-0.16,68.0
1432,690,0.2,12,2.4,-0.15,60.5
1436,643,0.1,12,1.2,-0.12,102.1
1440,597,0.1,12,1.2,-0.11,90.7
1444,549,0.1,12,1.2,-0.09,75.6
1448,499,0.05,12,0.6,-0.07,121.0
1452,448,0.05,12,0.6,-0.06,98.3
1456,400,0.05,12,0.6,-0.05,75.6
1460,346,0.05,12,0.6,-0.04,60.5
1500,0,0,12,0.0,0.00,0.0
